index,experiment_id,llm_prob,reference_time,new_code_time,new_code
0000,0,1.0,0.3803,0.3785,"#include<iostream>\n\n#include<cstring>\n\nusing namespace std;\n\nint main()\n\n{\n\n	int k;\n\n	string s;\n\n	cin>>k>>s;\n\n	if(s.length()>k)\n\n	{\n\n		for(int i=0;i<k;i++)\n\n		cout<<s[i];\n\n		cout<<""..."";\n\n	}\n\n	else\n\n	cout<<s;\n\n} "
0002,0,1.0,0.436,0.4005,"#include""stdc++.h""\n\nusing namespace std;\n\n#define ll long long\n\n#define vi vector<int>\n\n#define pb push_back\n\n#define pii pair<int , int>\n\n#define fast ios_base::sync_with_stdio(0)\n\n#define mx 100005\n\n#define inf 100000000000000000LL\n\nll arr[mx], dp[mx];\n\nint n, k;\n\nll solve(int pos)\n\n{\n\n    if(pos==n) return 0;\n\n    ll&ret = dp[pos];\n\n    if(dp[pos]!=-1) return ret;\n\n    ret = inf;\n\n    for(int i=1; i<=k; i++){\n\n        int nxt = pos+i;\n\n        if(nxt>n) break;\n\n        ret = min(ret, llabs(arr[pos] - arr[nxt]) + solve(nxt));\n\n    }\n\n    return ret;\n\n}\n\nint main()\n\n{\n\n    //fast;\n\n    while(scanf(""%d%d"",&n,&k)){\n\n        for(int i=1; i<=n; i++)\n\n            scanf(""%lld"",&arr[i]);\n\n        memset(dp, -1, sizeof dp);\n\n        printf(""%lld\n"", solve(1));\n\n        return 0;\n\n    }\n\n}\n\n\n"
0011,0,1.0,0.4523,0.4187,"#include""stdc++.h""\n\nusing namespace std;\n\ntypedef		long long       ll;\n\ntypedef		vector<ll>      vll;\n\n#define     fi              first\n\n#define     se              second\n\n#define		pb              push_back\n\n#define		nn              ""\n""\n\n#define		all(p)          p.begin(),p.end()\n\n#define		zz(v)           (ll)v.size()\n\n#define 	S(a)            scanf(""%lld"",&a)\n\n#define 	SS(a,b)         scanf(""%lld %lld"",&a,&b)\n\n#define 	SSS(a,b,c)      scanf(""%lld %lld %lld"",&a,&b,&c)\n\n#define		ss              ' '\n\n#define     pii             pair<ll,ll>\n\nconst double eps = 1e-8;\n\n\n\nll ar[100010];\n\nll dp[100010];\n\nll n,k;\n\nll solve(ll i)\n\n{\n\n    if(i==n)\n\n        return 0;\n\n    if(i>n)\n\n        return INT_MAX;\n\n\n\n    if(dp[i]!=-1)\n\n        return dp[i];\n\n    ll arr[k+10],sz=0;\n\n    for(ll step = 1; step<=k; ++step)\n\n    {\n\n        if(i+step<=n)\n\n        {\n\n            arr[sz++]=abs(ar[i]-ar[i+step])+solve(i+step);\n\n        }\n\n        else\n\n            break;\n\n    }\n\n    ll mn=INT_MAX;\n\n    for(ll x=0; x<sz; x++)\n\n        mn=min(mn,arr[x]);\n\n    return dp[i]=mn;\n\n\n\n}\n\n\n\nint main()\n\n{\n\n    memset(dp,-1,sizeof(dp));\n\n    cin>>n>>k;\n\n    for(ll i=1; i<=n; i++)\n\n        cin>>ar[i];\n\n    cout<<solve(1);\n\n\n\n}\n\n\n\n\n\n\n\n\n\n\n\n\n"
0012,0,1.0,0.397,0.3912,"#include <iostream>\n\n#include <cmath>\n\n\n\nusing namespace std;\n\n\n\nint main(){\n\n  long long int n;\n\n  cin >> n;\n\n  long long int ans = 1;\n\n  \n\n  for(int i = 1; i <= n; i++){\n\n    ans = (ans * i) % (int)(pow(10,9) + 7);\n\n  }\n\n  \n\n  cout << ans << endl;\n\n  return 0;\n\n}"
0013,0,1.0,0.4075,0.3917,"#include <iostream>\n\nusing namespace std;\n\n\n\nint main()\n\n{\n\n    int k,x;\n\n    cin >>  k >> x;\n\n    for (int i = x-(k-1);i<= x ;i++){\n\n        cout << i<<"" "";\n\n    }\n\n    for (int i = x+1 ;i<=x+(k-1) ;i++){\n\n        cout << i<<"" "";\n\n    }\n\n    cout <<endl;\n\n    return 0;\n\n}\n"
0000,1,1.0,0.4358,0.3883,"#include<iostream>\n\n#include<cstring>\n\nusing namespace std;\n\nint main()\n\n{\n\n	int k;\n\n	string s;\n\n	cin>>k>>s;\n\n	if(s.length()>k)\n\n	{\n\n		for(int i=0;i<k;i++)\n\n		cout<<s[i];\n\n		cout<<""..."";\n\n	}\n\n	else\n\n	cout<<s;\n\n} "
0003,0,1.0,0.3896,0.3836,"#include""stdc++.h""\n\nusing namespace std;\n\nint main(){\n\n	int k;\n\n	string s;\n\n	cin >> k >> s;\n\n	if(s.length() > k){\n\n		for(int i = 0;i < k;i++) cout << s[i];\n\n		cout << ""..."";\n\n	}else {\n\n		cout << s;\n\n	}\n\n	return 0;\n\n}"
0006,0,1.0,0.3765,0.3747,"#include""stdc++.h""\n\nusing namespace std;\n\ntypedef long long ll;\n\nconst ll inf = 1e9;\n\n#define sz              300005\n\n#define Fast            ios_base::sync_with_stdio(false);cin.tie(0);cout.tie(0);\n\n\n\nstring s;\n\n\n\nint main(){\n\n    Fast;\n\n    int a,b,c, i,j, n,m,t, cs=1;\n\n    cin>>n>>s;\n\n\n\n    if(s.size()<=n){\n\n        cout<<s<<endl;\n\n        return 0;\n\n    }\n\n    for(i=0; i<n; i++){\n\n        cout<<s[i];\n\n    }\n\n    cout<<""...""<<endl;\n\n\n\n\n\n    return 0;\n\n}\n\n\n"
0014,0,1.0,0.3988,0.3795,"#include""stdc++.h""\n\nusing namespace std;\n\ntypedef long long ll;\n\n\n\nll read(){\n\n    ll x=0,f=1;char c=getchar();\n\n    while(c<'0' || c>'9'){if(c=='-')f=-1;c=getchar();}\n\n    while(c>='0' && c<='9'){x=x*10+c-'0';c=getchar();}\n\n    return x*f;\n\n}\n\n\n\nint n;\n\nint a[1000100];\n\npair<int,int> b[1000100];\n\n\n\nvoid upd(int x,int y){\n\n    int num1=b[x].first,num2=b[x].second,num3=b[y].first,num4=b[y].second;\n\n    b[x].first=max(num1,num3);\n\n    if(num1>num3) b[x].second=max(num2,num3);\n\n    else b[x].second=max(num1,num4);\n\n}\n\n\n\nint main(){\n\n    #ifdef LZT\n\n    freopen(""in"",""r"",stdin);\n\n    #endif\n\n    n=read();\n\n    for(int i=0;i<(1<<n);i++)\n\n        a[i]=read();\n\n    for(int i=0;i<(1<<n);i++)\n\n        b[i].first=a[i],b[i].second=-1e9;\n\n    for(int k=0;k<n;k++){\n\n        //cout<<k<<endl;\n\n        for(int i=0;i<(1<<n);i++){\n\n            if((i&(1<<k))!=0) continue;\n\n            upd(i|(1<<k),i);\n\n            //cout<<(i|(1<<k))<<' '<<i<<endl;\n\n        }\n\n    }/*\n\n    for(int i=0;i+1<(1<<n);i++){\n\n        upd(i+1,i);\n\n    }*/\n\n    int lastans=0;\n\n    for(int i=1;i<(1<<n);i++){\n\n        lastans=max(lastans,b[i].first+b[i].second);\n\n        printf(""%d\n"",lastans);\n\n    }\n\n    return 0;\n\n}\n\n\n\n/*\n\n2\n\n1 2 3 1\n\n*/"
0003,1,1.0,0.4118,0.3845,"#include""stdc++.h""\n\nusing namespace std;\n\nint main(){\n\n	int k;\n\n	string s;\n\n	cin >> k >> s;\n\n	if(s.length() > k){\n\n		for(int i = 0;i < k;i++) cout << s[i];\n\n		cout << ""..."";\n\n	}else {\n\n		cout << s;\n\n	}\n\n	return 0;\n\n}"
